scenario,day,med,p5,p95
B,38,15147.701149584525,3982.579579880923,38786.9226527522
B,39,15124.908829819806,3968.025444705054,38699.70806003806
B,40,15140.366749179328,3968.025444705054,38682.059604718976
B,41,15140.366749179328,3968.025444705054,38682.059604718976
B,42,15140.366749179328,3968.025444705054,38682.059604718976
B,43,15140.366749179328,3968.025444705054,38682.059604718976
B,44,15140.366749179328,3968.025444705054,38682.059604718976
B,45,15140.366749179328,3968.025444705054,38682.059604718976
C,1,8478.228274534267,4047.6725313292864,11099.030863718997
C,2,8478.228274534267,4047.6725313292864,11099.030863718997
C,3,8478.228274534267,4047.6725313292864,11099.030863718997
C,4,8478.228274534267,4047.6725313292864,11099.030863718997
C,5,8478.228274534267,4047.6725313292864,11120.208940333849
C,6,8479.686454679078,4051.253419321767,11220.926735911331
C,7,8514.700229277118,4055.5711184141014,11356.420687933474
C,8,8643.084193374334,4122.646910096117,11748.564933515005
C,9,8934.969115619926,4207.755985523481,12249.422492222115
C,10,9342.97904738116,4445.767756541574,12709.462269879043
C,11,9742.660062462743,4901.3258172689275,12899.9228379955
C,12,9943.635101433514,5216.9019994858645,12998.313022424802
C,13,10018.693261583747,5343.997120099675,13074.365234756993
C,14,10033.033583907272,5384.714555666727,13074.365234756993
C,15,10033.033583907272,5384.714555666727,13074.365234756993
C,16,10033.033583907272,5384.714555666727,13074.365234756993
C,17,10033.033583907272,5384.714555666727,13074.365234756993
C,18,10033.033583907272,5384.714555666727,13074.365234756993
C,19,10032.294897667922,5384.714555666727,13074.365234756993
C,20,10032.294897667922,5384.714555666727,13074.365234756993
C,21,10020.296865171476,5366.749253334081,13029.999734793753
C,22,10017.798407114615,5281.902514882318,13022.201715644316
C,23,9986.178724419482,5190.183753266671,13004.713450944646
C,24,9791.024411457205,4951.053292649546,12859.813104999863
C,25,9541.008003069008,4680.3735251244,12502.327691428767
C,26,9274.956585929955,4603.964168990955,12280.568711931282
C,27,9220.825186568458,4570.075040109649,12108.151460203691
C,28,9220.825186568458,4570.075040109649,12108.151460203691
C,29,9220.825186568458,4570.075040109649,12110.999862540833
C,30,9220.825186568458,4570.075040109649,12110.999862540833
