scenario,day,class,emissions_kgCO2,co2_per_unit,litres,trips
A,11,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,12,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,13,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,14,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,15,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,16,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,17,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,18,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,19,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,20,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,21,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,22,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,23,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,24,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,25,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,26,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,27,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,28,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,29,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,30,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,31,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,32,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,33,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,34,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,35,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,36,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,37,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,38,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,39,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,40,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,41,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,42,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,43,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,44,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,45,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,46,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,47,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,48,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,49,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,50,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,51,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,52,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,53,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,54,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,55,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,56,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,57,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
