scenario,day,med,p5,p95
C,1,9435.641086051328,3749.507756479409,17172.08046520686
C,2,9547.311190797887,3880.4671119637105,17171.77555827316
C,3,9614.049920620582,4022.9276067325136,17190.409505913867
C,4,9511.52941668678,4016.0979377938133,17390.74555219994
C,5,9583.259077421528,4065.026090728232,17589.148614321082
C,6,9482.090855038861,3982.224570788248,17137.164444355818
C,7,9511.52941668678,4065.8333699268865,17224.27233889921
C,8,9563.542393277881,4105.859980043649,17182.89665806309
C,9,9537.052073115701,3987.200220407111,17172.08046520686
C,10,9511.52941668678,4013.444417004518,17223.113345369868
C,11,9609.759090259902,4061.8896730626607,17137.164444355818
C,12,9380.516644562591,3983.030857651106,17242.33532571996
C,13,9603.074287717616,4290.6051736600875,17182.89665806309
C,14,9609.759090259902,4043.9773896470797,17138.571724611415
C,15,9511.52941668678,4154.82530998017,17182.89665806309
C,16,9511.52941668678,3996.377167504922,17242.33532571996
C,17,9471.950262470364,3949.8585098709445,17171.77555827316
C,18,9482.090855038861,3996.548589342291,17070.417078567854
C,19,9583.259077421528,4163.8932864561375,17224.27233889921
C,20,9627.247299002058,4207.526117360035,17116.032463663614
C,21,9441.644431336337,3996.548589342291,17137.164444355818
C,22,9495.963458084712,3998.021070130926,17224.27233889921
C,23,9603.074287717616,4070.953960659014,17223.113345369868
C,24,9520.981320256738,3996.377167504922,17190.409505913867
C,25,9560.95021220903,3947.879468079431,17190.409505913867
C,26,9668.548472753659,4238.403536605969,17386.985900381413
C,27,9603.074287717616,4280.177148076348,17137.164444355818
C,28,9580.139012163783,3969.897773404537,17116.032463663614
C,29,9560.95021220903,4106.311373463653,17171.77555827316
C,30,9583.259077421528,3968.893296731729,17144.467960108537
